Date,Description,Category,Amount,Type
2026-06-01,Salary,Income,50000,Income
2026-06-02,Freelance Payment,Income,25000,Income
2026-06-03,Swiggy,Food,450,Expense
2026-06-04,Uber,Transport,300,Expense
2026-06-05,Netflix,Entertainment,649,Expense
2026-06-06,Grocery Store,Food,1200,Expense
2026-06-07,Electricity Bill,Utilities,1800,Expense
2026-06-08,Zomato,Food,380,Expense
2026-06-09,Gym Membership,Health,999,Expense
2026-06-10,Amazon,Shopping,2500,Expense
2026-06-12,Ola,Transport,250,Expense
2026-06-15,Medical Checkup,Health,500,Expense
2026-06-18,Restaurant Dinner,Food,1400,Expense
2026-06-20,Mobile Recharge,Utilities,399,Expense
2026-06-22,Online Course,Education,1999,Expense
2026-06-25,Rent,Housing,12000,Expense
